CourseName,University,DifficultyLevel,CourseRating,CourseURL,CourseDescription,Skills
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,Beginner,3.9,https://www.coursera.org/learn/google-cloud-java-spring,"""Microservices"" describes a software design pattern in which an application is a collection of loosely coupled services. These services are fine-grained, and can be individually maintained and scaled. The microservices architecture is ideal for the public cloud, with its focus on elastic scaling with on-demand resources. In this course, you will learn how to build Java applications using Spring Boot and Spring Cloud on Google Cloud Platform.   You'll use Cloud Runtime Configuration and Spring Cloud Config to manage your application's configuration. You'll send and receive messages with Cloud Pub/Sub and Spring Integration. You'll also use Cloud SQL as a managed relational database for your Java applications, and learn how to migrate to Cloud Spanner, which is Google Cloud's globally-distributed strongly consistent database service. You'll also learn about tracing and debugging your Spring applications with Stackdriver.  To succeed in this course, you should be familiar with the Java programming language and building Java applications with tools such as Maven or Gradle. You should also have general knowledge of Google Cloud Platform  >>> By enrolling in this course you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<",build operate transfer  publish subscribe pattern  spring framework  spring  microservices  Google Cloud Platform  Cloud Computing  Cloud Platforms  booting  Google App Engine computer-science software-development
Create Your First Game with Python,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/python-game,"In this 2-hour long project-based course, you will learn the basics of game development with Python using the PyGame modules. Through hands on, practical experience, you will go through concepts like creating a game loop, image display and transformation, event handling, and writing game logic. You will then apply the concepts to create your first game with Python and PyGame.  This course is aimed at learners who are looking to get started with game development using Python, and have some prior programming experience in the Python programming language. The ideal learner has understanding of Python syntax, and computer programming concepts.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Python Programming  Computer Programming  euler's totient function  video game development  game programming  display devices  while loop  c programming  c++  pygame computer-science software-development
"Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames",Yandex,Advanced,3.5,https://www.coursera.org/learn/big-data-analysis,"No doubt working with huge data volumes is hard, but to move a mountain, you have to deal with a lot of small stones. But why strain yourself? Using  Mapreduce and Spark you tackle the issue partially, thus leaving some space for high-level tools. Stop  struggling to make your big data workflow productive and efficient,  make use of the tools we are offering you.   This course will teach you how to: - Warehouse your data efficiently using Hive, Spark SQL and Spark DataFframes.  - Work with large graphs, such as social graphs or networks.  - Optimize your Spark applications for maximum performance.  Precisely, you will master your knowledge in: - Writing and executing Hive & Spark SQL queries; - Reasoning how the queries are translated into actual execution primitives (be it MapReduce jobs or Spark transformations); - Organizing your data in Hive to optimize disk space usage and execution times; - Constructing Spark DataFrames and using them to write ad-hoc analytical jobs easily; - Processing large graphs with Spark GraphFrames; - Debugging, profiling and optimizing Spark application performance.   Still in doubt? Check this out. Become a data ninja by taking this course!  Special thanks to: - Prof. Mikhail Roytberg, APT dept., MIPT, who was the initial reviewer of the project, the supervisor and mentor of half of the BigData team. He was the one, who helped to get this show on the road. - Oleg Sukhoroslov (PhD, Senior Researcher at IITP RAS), who has been teaching  MapReduce, Hadoop and friends since 2008. Now he is leading the infrastructure team. - Oleg Ivchenko (PhD student APT dept., MIPT), Pavel Akhtyamov (MSc. student at APT dept., MIPT) and Vladimir Kuznetsov (Assistant at P.G. Demidov Yaroslavl State University), superbrains who have developed and now maintain the infrastructure used for practical assignments in this course. - Asya Roitberg, Eugene Baulin, Marina Sudarikova. These people never sleep to babysit this course day and night, to make your learning experience productive, smooth and exciting.",Apache Spark  SQL  adjacency list  Apache Hadoop  window function  Apache  Python Programming  hive  Apache Hive  Big Data data-science data-analysis
SQL for Data Science,"University of California, Davis",Conversant,4.5,https://www.coursera.org/learn/sql-for-data-science,"As data collection has increased exponentially, so has the need for people skilled at using and interacting with data; to be able to think critically, and provide insights to make better decisions and optimize their businesses. This is a data scientist, �part mathematician, part computer scientist, and part trend spotter� (SAS Institute, Inc.). According to Glassdoor, being a data scientist is the best job in America; with a median base salary of $110,000 and thousands of job openings at a time. The skills necessary to be a good data scientist include being able to retrieve and work with data, and to do that you need to be well versed in SQL, the standard language for communicating with database systems.  This course is designed to give you a primer in the fundamentals of SQL and working with data so that you can begin analyzing it for data science purposes. You will begin to ask the right questions and come up with good answers to deliver valuable insights for your organization. This course starts with the basics and assumes you do not have any knowledge or skills in SQL. It will build on that foundation and gradually have you write both simple and complex queries to help you select data from tables.  You'll start to work with different types of data like strings and numbers and discuss methods to filter and pare down your results.   You will create new tables and be able to move data into them. You will learn common operators and how to combine the data. You will use case statements and concepts like data governance and profiling. You will discuss topics on data, and practice using real-world programming assignments. You will interpret the structure, meaning, and relationships in source data and use SQL as a professional to shape your data for targeted analysis purposes.   Although we do not have any specific prerequisites or software requirements to take this course, a simple text editor is recommended for the final project. So what are you waiting for? This is your first step in landing a job in the best occupation in the US and soon the world!",modeling  Databases  data retrieval  analysis  Data Analysis  SQL  mysql  Data Model  sqlite  join (sql) data-science data-analysis
Pandas Python Library for Beginners in Data Science,Coursera Project Network,Beginner,4.4,https://www.coursera.org/learn/pandas-python-library-beginners-data-science,"Note 1: As a beginner you are not yet ready to work with real world data. So real world data is not used in this project.  Note2 : If you are already familiar with pandas and want to work with real world data, check out the intermediate course here: https://www.coursera.org/projects/intermediate-pandas-python-library-data-science   Note 3: Pandas is not used for development. It was designed purely for data manipulation. So you will not build anything during the course of this project.   Note 4: The video content is meant to be within an hour as per Coursera's guidlines. It is meant to demonstrate  coding. The theory is covered in detail in the reading module titled ""Project Summary""provided after the video content.  Note 5: Make sure you read the ""Project Summary"" before attempting the final quiz.  This guided project is for college students or those who have not heard of pandas before and  want to learn about the syntax in pandas, one of the most important python libraries for data analysis.   By the end of this project, you will master the basics of pandas. You will be able to gain insight into the data, clean it, and do basic preprocessing to get the most value out of your data.  Special Features:  1) This project provides plenty of challenges with solutions to encourage you to practice using pandas. 2) Libraries are automatically imported each time you begin a new session. Just open the project and start learning!  3) The real world applications of each function is explained. 4) After you complete this project, you get a jupyter notebook of all the work you covered (including gifs). It acts as a useful learning tool that you can refer to at any time in the future.  5) Best practices and tips are provided to ensure that you learn how to use pandas efficiently. 6) Animated gifs are used to aid in the learning process. 7) Important terminology and definitions are explained. 8) Simple language is used throughout the project, so that you can focus on coding. (Eg: Quantitative data is referred to simply as numeric data.) Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Framing  Average  Pandas  Data Science  data file  Operations Management  python libraries  Python Programming  project mine  project data-science data-analysis
Java Arrays and Loops,Coursera Project Network,Intermediate,Not Calibrated,https://www.coursera.org/learn/java-arrays-and-loops,"In this project you will read weather data from a file and populate an Array with the file data. The data is then sorted in an Array, and output to another file.  Loops are used in a Java program whenever a sequence of code must be repeated. A common use for a while loop is to read data from a file, where the file is of unknown length. A for loop, on the other hand is often used when the repeat count of a code sequence is known. A common use of a for loop is to iterate through an array. An Array is a list of items of a fixed size where each entry is the same type of data. The array could contain numbers, Strings of characters, or a user-defined data type.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",arrays  for loop  ordered pair  data type  while loop  iteration  sorting  project  null coalescing operator  numbers (spreadsheet) computer-science software-development
Dimensionality Reduction using an Autoencoder in Python,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/dimensionality-reduction-autoencoder-python,"In this 1-hour long project, you will learn how to generate your own high-dimensional dummy dataset. You will then learn how to preprocess it effectively before training a baseline PCA model. You will learn the theory behind the autoencoder, and how to train one in scikit-learn. You will also learn how to extract the encoder portion of it to reduce dimensionality of your input data. In the course of this project, you will also be exposed to some basic clustering strength metrics.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Scikit-Learn  project  preprocessor  Python Programming  Machine Learning  Artificial Neural Networks  linearity  Autoencoder  variance  Dimensionality Reduction data-science machine-learning
Java Classes and Objects,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/java-classes-and-objects,"In Object-Oriented Programming in a language such as Java, Classes and Objects are often used interchangeably but there is a distinction between the two. A class is a blueprint for objects.   In this project you will create an application that defines a Car class and create one to many Car objects. A Car class contains the common attributes all cars have; color, make and model. When a Car Object is made from the Car class, it is then assigned a specific color, such as a red Nissan Sentra or a blue Toyota Camry.    Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",euler's totient function  class (computer programming)  c++  inventory  java (software platform)  objective-c  source code  ordered pair  Continuous Function  class variable computer-science software-development
Advanced Relational Database and SQL,Coursera Project Network,Advanced,4.6,https://www.coursera.org/learn/Advanced-rdb-sql,"In this 1-hour long project-based course, you will gain hands-on experience and learn about Advanced SQL topics such as stored procedures, tiggers, functions, common table expressions and recursion. If you have intermediate level of experience with SQL and want to learn more, this course is for you!  Note: This is an Advanced level course. Taking my course ""Introduction to Relational Database and SQL"" and ""Intermediate Relational Database and SQL"" before taking this course is highly recommended. Especially if you do not have any previous experience with relational database and SQL.",PostgreSQL  unique key  euler's totient function  mysql  transact-sql  SQL  relational database  stored procedure  Databases  sql server management studio computer-science software-development
Advanced Portfolio Construction and Analysis with Python,EDHEC Business School,Advanced,4.7,https://www.coursera.org/learn/Advanced-portfolio-construction-python,"The practice of investment management has been transformed in recent years by computational methods. Instead of merely explaining the science, we help you build on that foundation in a practical manner, with an emphasis on the hands-on implementation of those ideas in the Python programming language. In this course, we cover the estimation, of risk and return parameters for meaningful portfolio decisions, and also introduce a variety of state-of-the-art portfolio construction techniques that have proven popular in investment management and portfolio construction due to their enhanced robustness.  As we cover the theory and math in lecture videos, we'll also implement the concepts in Python, and you'll be able to code along with us so that you have a deep and practical understanding of how those methods work. By the time you are done, not only will you have a foundational understanding of modern computational methods in investment management, you'll have practical mastery in the implementation of those methods. If you follow along and implement all the lab exercises, you will complete the course with a powerful toolkit that you will be able to use to perform your own analysis and build your own implementations and perhaps even use your newly acquired knowledge to improve on current methods.",measurement  Risk  Autoregressive Conditional Heteroskedasticity  Portfolio Construction  General Statistics  analysis  Python Programming  expected return  Correlation And Dependence  covariance business finance
Geo-Visualization in Python,Coursera Project Network,Beginner,4.1,https://www.coursera.org/learn/geo-visualization-in-python,"In this 1-hour long project-based course, you will learn geo-visualization and use it to plot useful maps for your data science projects. By the end of this project, you will have created and visualized geographical plots.  In order to be successful in this project, you should just know the basics of Python.",Map  Geovisualization  Data Science  PyTorch  project  euler's totient function  project mine  Python Programming  Geostatistics  php data-science data-analysis
Python and Machine-Learning for Asset Management with Alternative Data Sets,EDHEC Business School,Advanced,4.4,https://www.coursera.org/learn/machine-learning-asset-management-alternative-data,"Over-utilization of market and accounting data over the last few decades has led to portfolio crowding, mediocre performance and systemic risks, incentivizing financial institutions which are looking for an edge to quickly adopt alternative data as a substitute to traditional data. This course introduces the core concepts around alternative data, the most recent research in this area, as well as practical portfolio examples and actual applications. The approach of this course is somewhat unique because while the theory covered is still a main component, practical lab sessions and examples of working with alternative datasets are also key. This course is fo you if you are aiming at carreers prospects as a data scientist in financial markets, are looking to enhance your analytics skillsets to the financial markets, or if you are interested in cutting-edge technology and research as  they apply to big data. The required background is: Python programming, Investment theory , and Statistics. This course will enable you to learn new data and research techniques applied to the financial markets while strengthening data science and python skills.",investment  Tf Idf  prior probability  measurement  sentiment analysis  market (economics)  Bag-Of-Words Model  graphs  Python Programming  text mining business finance
Python Data Structures,Coursera Project Network,Beginner,4.4,https://www.coursera.org/learn/python-data-structures,"Data structures play a crucial role in application development. The proper selection of data structures is important for efficient algorithm development. The availability of a list, for example, greatly simplifies sorting a collection of data items.  It would be difficult to do this without that data structure, as you will see. This is why Programming languages like Python have certain fundamental data structures built into the language.  In this course, you will create a Python application that reads from a file containing words and their definitions. You will use Python�s built-in data structures to make a multiple choice quiz based on words and their definitions.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",euler's totient function  data item  Data Science  hive  Python Programming  Data Structures  Algorithms  Continuous Function  Computer Programming  Computer Science computer-science software-development
JavaScript Numbers: Properties and Methods,Coursera Project Network,Beginner,5,https://www.coursera.org/learn/javascript-numbers-properties-methods,"In this beginning-level project you will work with the number data type, and with properties and methods that apply to numbers. You will use Notepad++ to write JavaScript code and the Chrome browser to view your results. For a JavaScript programmer, understanding how to deal with variables that contain numbers is a prerequisite for any kind of number processing � even something as simple as accepting a number from a prompt() method and using it in a calculation.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",data type  Writing  .properties  text corpus  digital signature  Computer Programming  project mine  numbers (spreadsheet)  project  concatenation computer-science mobile-and-web-development
Data Visualization with Python,IBM,Beginner,4.4,https://www.coursera.org/learn/python-for-data-visualization,"""A picture is worth a thousand words"". We are all familiar with this expression. It especially applies when trying to explain the insight obtained from the analysis of increasingly large datasets. Data visualization plays an essential role in the representation of both small and large-scale data.  One of the key skills of a data scientist is the ability to tell a compelling story, visualizing data and findings in an approachable and stimulating way. Learning how to leverage a software tool to visualize data will also enable you to extract information, better understand the data, and make more effective decisions.  The main goal of this Data Visualization with Python course is to teach you how to take data that at first glance has little meaning and present that data in a form that makes sense to people. Various techniques have been developed for presenting data visually but in this course, we will be using several data visualization libraries in Python, namely Matplotlib, Seaborn, and Folium.  LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.",Chart  Python Programming  Choropleth Map  analysis  Computer Programming  Data Visualization  Map  Matplotlib  Bar Chart  Data Analysis data-science data-analysis
Data Visualization with Python,IBM,Beginner,4.4,https://www.coursera.org/learn/python-for-data-visualization,"""A picture is worth a thousand words"". We are all familiar with this expression. It especially applies when trying to explain the insight obtained from the analysis of increasingly large datasets. Data visualization plays an essential role in the representation of both small and large-scale data.  One of the key skills of a data scientist is the ability to tell a compelling story, visualizing data and findings in an approachable and stimulating way. Learning how to leverage a software tool to visualize data will also enable you to extract information, better understand the data, and make more effective decisions.  The main goal of this Data Visualization with Python course is to teach you how to take data that at first glance has little meaning and present that data in a form that makes sense to people. Various techniques have been developed for presenting data visually but in this course, we will be using several data visualization libraries in Python, namely Matplotlib, Seaborn, and Folium.  LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.",Chart  Python Programming  Choropleth Map  analysis  Computer Programming  Data Visualization  Map  Matplotlib  Bar Chart  Data Analysis data-science data-analysis
Data Collection and Processing with Python,University of Michigan,Conversant,4.6,https://www.coursera.org/learn/data-collection-processing-python,"This course teaches you to fetch and process data from services on the Internet. It covers Python list comprehensions and provides opportunities to practice extracting from and processing deeply nested data. You'll also learn how to use the Python requests module to interact with REST APIs and what to look for in documentation of those APIs. For the final project, you will construct a �tag recommender� for the flickr photo sharing site.  The course is well-suited for you if you have already taken the ""Python Basics"" and ""Python Functions, Files, and Dictionaries"" courses (courses 1 and 2 of the Python 3 Programming Specialization). If you are already familiar with Python fundamentals but want practice at retrieving and processing complex nested data from Internet services, you can also benefit from this course without taking the previous two.  This is the third of five courses in the Python 3 Programming Specialization.",list comprehension  representational state transfer  application programming interfaces  Python Programming  Map  web api  api testing  web  json  Computer Programming computer-science software-development
JavaScript Variables and Assignment Operators,Coursera Project Network,Beginner,4.8,https://www.coursera.org/learn/javascript-variables-assignment-operators,"In this beginning-level project you will work with JavaScript variables and assignment operators by writing and testing JavaScript code using the Notepad++ text editor and the Chrome browser. Since variables are used as containers to hold values in JavaScript, knowing how to use them is an essential skill for a JavaScript programmer. You will learn how to create a variable, name it correctly, and use it to store a data value using an assignment operator.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Web Development  html  Javascript  null coalescing operator  data type  ternary conditional operator  text editors  project  private network  modulo operation computer-science mobile-and-web-development
Building Basic Relational Databases in�SQL Server Management Studio,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/basic-relational-databases-sql,"In this one-hour based project you will apply the basics of working with relational databases within the SQL Server Management Studio (SSMS) environment. You will use the tools in SSMS to diagram an existing database and to create and run some SELECT and CREATE TABLE structured query language commands. You will also acquire the basic terminology that applies to all relational databases. By successfully completing the hands-on practices assigned, you will be better prepared for applying these basic concepts in SSMS in SQL Server classes.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",running  Databases  Project Management  Leadership and Management  sql server management studio  entry point  language  php  relational database  SQL computer-science software-development
Python Basics,University of Michigan,Beginner,4.8,https://www.coursera.org/learn/python-basics,"This course introduces the basics of Python 3, including conditional execution and iteration as control structures, and strings and lists as data structures. You'll program an on-screen Turtle to draw pretty pictures. You'll also learn to draw reference diagrams as a way to reason about program executions, which will help to build up your debugging skills. The course has no prerequisites. It will cover Chapters 1-9 of the textbook ""Fundamentals of Python Programming,"" which is the accompanying text (optional and free) for this course.  The course is for you if you're a newcomer to Python programming, if you need a refresher on Python basics, or if you may have had some exposure to Python programming but want a more in-depth exposition and vocabulary for describing and reasoning about programs.  This is the first of five courses in the Python 3 Programming Specialization.",Problem Solving  python syntax and semantics  turtle graphics  Computer Programming  language  Python Programming  semantics  for loop  basic programming language  syntax computer-science software-development
Logistic Regression with NumPy and Python,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/logistic-regression-numpy-python,"Welcome to this project-based course on Logistic with NumPy and Python. In this project, you will do all the machine learning without using any of the popular machine learning libraries such as scikit-learn and statsmodels. The aim of this project and is to implement all the machinery, including gradient descent, cost function, and logistic regression, of the various learning algorithms yourself, so you have a deeper understanding of the fundamentals. By the time you complete this project, you will be able to build a logistic regression model using Python and NumPy, conduct basic exploratory data analysis, and implement gradient descent from scratch. The prerequisites for this project are prior programming experience in Python and a basic understanding of machine learning theory.  This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your internet browser so you can just focus on learning. For this project, you�ll get instant access to a cloud desktop with Python, Jupyter, NumPy, and Seaborn pre-installed.",Logistic Regression  Machine Learning  supply chain  Regression Analysis  project mine  Python Programming  project  Computer Programming  Numpy  Regression data-science machine-learning
Create a Boggle Word Solver using recursion in Python,Coursera Project Network,Beginner,4.2,https://www.coursera.org/learn/boggle-python-recursion,"In this 1-hour long project-based course, you will have created a Boggle Word Solver in Python by defining various functions that load a 4x4 game board based on input, recursively searches in all allowed directions for plausible words using Depth First Traversal, and then prints out the valid words based on length constraints and by cross-checking whether the word exists in the stored dictionary. You will also learn to store the dictionary in a trie data structure which makes for more efficient lookups.   This guided project is aimed at learners who are wanting to  learn or practice recursion and graph traversal concepts in Python by developing a fun game. Understanding DFS and recursion is essential and will greatly expand your programming potential as they are used at the base of various algorithms. Implementing a prefix tree will also help you understand a new efficient data structure.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",tree structure  lookup table  trie  Data Structures  tree traversal  Python Programming  ?-recursive function  euler's totient function  ordered pair  recursion computer-science software-development
Create your own Sudoku Solver using AI and Python,Coursera Project Network,Beginner,3.9,https://www.coursera.org/learn/create-your-own-sudoku-solver-using-ai-and-python,"In this 1-hour long project-based course, you will create a Sudoku game solver using Python. This problem is an example of what is called a Constraint Satisfaction Problem (CSP) in the field of Artificial Intelligence. CSP is a mathematical problem that must satisfy a number of constraints or limitations all the time.   In this project, You will use the Backtracking algorithm to solve CSPs, in a Sudoku game. Backtracking is a recursive algorithm that tries to build a solution incrementally, removing solutions that fail to satisfy the constraints. Eventually, you will be able to use the knowledge acquired from this project on far more complex projects that employ these technologies.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Algorithms  candidate solution  project  backtracking  solver  Python Programming  i-deas  Machine Learning  recursion  discard protocol computer-science software-development
Modern JavaScript: ES6 Basics,Coursera Project Network,Beginner,4.4,https://www.coursera.org/learn/modern-javascript-es6-basics,"In this project, you'll learn the most fundamental ES6 features and practice them with live hands-on examples. You'll start writing modern JavaScript and really understand why we need ES6.  Mastering modern JavaScript starts with understanding the reasoning behind the main ES6 features - arrow functions, variables, template literals. Doing so will help you grasp the concepts behind Node, React and Angular.",React (web framework)  Web Development  ecmascript  euler's totient function  php  Angular  relative change and difference  Javascript  angularjs  node.js computer-science software-development
Python and Machine Learning for Asset Management,EDHEC Business School,Advanced,2.6,https://www.coursera.org/learn/python-machine-learning-for-investment-management,"This course will enable you mastering machine-learning approaches in the area of investment management. It has been designed by two thought leaders in their field, Lionel Martellini from EDHEC-Risk Institute and John Mulvey from Princeton University. Starting from the basics, they will help you build practical skills to understand data science so you can make the best portfolio decisions.  The course will start with an introduction to the fundamentals of machine learning, followed by an in-depth discussion of the application of these techniques to portfolio management decisions, including the design of more robust factor models, the construction of portfolios with improved diversification benefits, and the implementation of more efficient risk management models.   We have designed a 3-step learning process: first, we will introduce a meaningful investment problem and see how this problem can be addressed using statistical techniques. Then, we will see how this new insight from Machine learning can complete and improve the relevance of the analysis.  You will have the opportunity to capitalize on videos and recommended readings to level up your financial expertise, and to use the quizzes and Jupiter notebooks to ensure grasp of concept.  At the end of this course, you will master the various machine learning techniques in investment management.",peterson's algorithm  asset allocation  Cross-Validation (Statistics)  Loss Function  economic data  Machine Learning  process  unsupervised learning  Leadership and Management  Portfolio Construction business finance
Create an interactive fiction adventure game with Python,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/create-an-interactive-fiction-text-adventure-game-with-python,"In this 2-hour long project-based course, you will learn how to create an interactive fiction text adventure game in Python, the basics of programming and of Python language.   Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",monster  Python Programming  display devices  Computer Programming  running  euler's totient function  project  choice  video game development  interactivity computer-science software-development
Create a Record of Students using Arrays in Java,Coursera Project Network,Beginner,4.9,https://www.coursera.org/learn/create-a-record-of-students-using-arrays-in-java,"This project provides a step-by-step approach in instruction and will equip you with fundamental concepts of creating arrays and array lists in Java programming, from the ground up.  Using jGRASP development environment, you will create a Java project that records and processes students� data. The data includes name, mode of study, and marks. Using this data, you will output the student details, compute the total marks per student, determine the average mark,  and the highest mark for the class.  You will also be introduced to basic concepts in using array lists. By the end of this project, you will be able to write a Java program using one-dimensional arrays, two-dimensional arrays, one-dimensional array lists, and two-dimensional array lists.   If this is the first time you are learning about arrays and array lists you will benefit from writing a program from a blank sheet to a fully functioning program. If you already have programming experience, this is an opportunity to refresh your skills in array data structures. No matter your level, you will be able to apply the skills obtained from this course in real-life programming exercises. To provide you with support outside the course, you will find a pool of additional notes and exercises that you can try at home.   If you ever wanted to build on the fundamental skills in Java that you already possess and become better at using arrays, this project is the right place to start!",array data structure  list of dns record types  dynamic array  Software Engineering  Project Management  java (software platform)  arrays  project  display devices  student debt computer-science software-development
Java Built in Data Structures,Coursera Project Network,Beginner,Not Calibrated,https://www.coursera.org/learn/java-built-in-data-structures,"In this project you will read weather data from a file and populate a Java ArrayList with the file data. The data is then uniquified in a Set data structure and stored in a HashMap for accessing data by year.  Java's collections framework contains data structures that are built for efficiency. They are used to store and retrieve data in various formats. A list such as an ArrayList can be used in place of an array to contain data where the size cannot be determined ahead of time. A LinkeList is like an ArrayList, except elements can be more quickly added and deleted from it, since no shifting needs to occur. A Hashmap is used to quickly look up a value based on a key rather than a numerical index, for example, to look up a phone number based on a key containing a person's name. A Set may be used to remove duplicates from a list, simply by assigning the data to it.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",value-based pricing  project  index  telephone number  sorting  java collections framework  ordered pair  arrays  Data Structures  dynamic array computer-science software-development
"Building Test Automation Framework - Selenium, C# & NUnit",Coursera Project Network,Intermediate,Not Calibrated,https://www.coursera.org/learn/building-test-automation-framework-using-selenium-csharph-nunit,"Selenium is one of the most widely used functional UI automation testing tools and integrates brilliantly with testing frameworks like NUnit.  Test automation frameworks are a set of guidelines or rules for writing test cases. They can reduce maintenance costs and testing efforts and will provide a higher return on investment (ROI) for teams looking to optimize their processes.  Testing guidelines include coding standards, test-data management, defining object repositories, reporting guidelines, and logging strategies.  Through hands-on, practical experience, you will go through concepts writing reusable and structure code which is easy to maintain and understand, creating helper classes or utilities, write effective test cases, and generating reports and logs.",test automation  interactivity  helper class  reporting guidelines  maintenance  test effort  screenshot  reusability  test case  return on investment computer-science software-development
Create Keyboard Movement Mechanics with C# in Unity,Coursera Project Network,Beginner,4.8,https://www.coursera.org/learn/create-keyboard-movement-mechanics-c-sharp-unity,"In this two-hour, project-based course, you'll learn how to make your game's character move, jump, sneak and run using different keys on your keyboard. You'll also learn how to set up the camera to have it follow your character when it moves around your game's environment, and enable it to zoom in and out for better player experience.",video game development  english language  Software Engineering  Mechanical Engineering  c sharp (programming language)  physics  Machine Learning  Mathematics  project  c++ computer-science software-development
Python for Data Science and AI,IBM,Conversant,4.5,https://www.coursera.org/learn/python-for-applied-data-science-ai,"Kickstart your learning of Python for data science, as well as programming in general, with this beginner-friendly introduction to Python. Python is one of the world�s most popular programming languages, and there has never been greater demand for professionals with the ability to apply Python fundamentals to drive business solutions across industries.   This course will take you from zero to programming in Python in a matter of hours�no prior programming experience necessary! You will learn Python fundamentals, including data structures and data analysis, complete hands-on exercises throughout the course modules, and create a final project to demonstrate your new skills.   By the end of this course, you�ll feel comfortable creating basic programs, working with data, and solving real-world problems in Python. You�ll gain a strong foundation for more Advanced learning in the field, and develop skills to help advance your career.   This course can be applied to multiple Specialization or Professional Certificate programs. Completing this course will count towards your learning in any of the following programs:   IBM Applied AI Professional Certificate   Applied Data Science Specialization   IBM Data Science Professional Certificate   Upon completion of any of the above programs, in addition to earning a Specialization completion certificate from Coursera, you�ll also receive a digital badge from IBM recognizing your expertise in the field.",Python Programming  python libraries  analysis  semantics  Computer Programming  syntax  Data Analysis  Pandas  python syntax and semantics  Numpy data-science data-analysis
Data Analysis with Python,IBM,Conversant,4.6,https://www.coursera.org/learn/data-analysis-with-python,"Learn how to analyze data using Python. This course will take you from the basics of Python to exploring many different types of data. You will learn how to prepare data for analysis, perform simple statistical analysis, create meaningful data visualizations, predict future trends from data, and more!  Topics covered:  1) Importing Datasets 2) Cleaning the Data 3) Data frame manipulation 4) Summarizing the Data 5) Building machine learning Regression models 6) Building data pipelines   Data Analysis with Python will be delivered through lecture, lab, and assignments. It includes following parts:  Data Analysis libraries: will learn to use Pandas, Numpy and Scipy libraries to work with a sample dataset. We will introduce you to pandas, an open-source library, and we will use it to load, manipulate, analyze, and visualize cool datasets. Then we will introduce you to another open-source library, scikit-learn, and we will use some of its machine learning algorithms to build smart models and make cool predictions.  If you choose to take this course and earn the Coursera course certificate, you will also earn an IBM digital badge.    LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.",Data Model  Regression  Python Programming  Regression Analysis  Exploratory Data Analysis  analysis  Computer Programming  modeling  Data Analysis  linearity data-science data-analysis
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,Beginner,4.7,https://www.coursera.org/learn/html-css-javascript-for-web-developers,"Do you realize that the only functionality of a web application that the user directly interacts with is through the web page? Implement it poorly and, to the user, the server-side becomes irrelevant! Today�s user expects a lot out of the web page: it has to load fast, expose the desired service, and be comfortable to view on all devices: from a desktop computers to tablets and mobile phones.  In this course, we will learn the basic tools that every web page coder needs to know. We will start from the ground up by learning how to implement modern web pages with HTML and CSS. We will then advance to learning how to code our pages such that its components rearrange and resize themselves automatically based on the size of the user�s screen. You�ll be able to code up a web page that will be just as useful on a mobile phone as on a desktop computer. No �pinch and zoom� required! Last but certainly not least, we will get a thorough introduction to the most ubiquitous, popular, and incredibly powerful language of the web: Javascript. Using Javascript, you will be able to build a fully functional web application that utilizes Ajax to expose server-side functionality and data to the end user.",web  Web Development  ajax (programming)  html  HTML5  bootstrap (front-end framework)  HTML and CSS  CSS  Computer Programming  Javascript computer-science mobile-and-web-development
